question,ground_truth,answer,contexts
我在单位投保，这次在二级医院做了个小手术，报销比例是不是也是九成啊？,在职人员在哈市二级定点医院住院，统筹基金和大额基金的支付比例都是 90%。," 
回答: 是的。在哈尔滨本地二级定点医院住院，无论是传染病医院还是普通医院，报销比例都是在职 90%，退休 93%。只有起付线是固定的 480 元。","哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6202413637302935)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6170147736018458)

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6150713172087876)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6115194638234565)"
我大爷退休后身体还可以，这次在二级定点医院住了一周，他这种情况医保能给报多少？,退休人员在哈市二级定点医院住院，统筹金和大额基金的报销比例为 93%。," 
回答: 起付标准 480 元，报销比例 93%。计算公式：（总费用 - 480）× 93%。如果总费用足够高，扣除起付线后的 93% 都是实打实的报销金额。","哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6329991404498827)

哈尔滨城镇职工医保住院待遇，就医类型为哈市一级定点医院，起付标准 240元；无等级医院，起付标准 200元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6329290156429408)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6312622115637361)

一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.629831677939862)"
如果在二级医院住院，医药费要是特别多，超过了 15 万块钱，大额基金那边是怎么给报的？,在二级定点医院住院，大额基金（15万-50万元）的支付比例是在职人员 90%，退休人员 93%。," 
","一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.6103730375548764)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6077307138091812)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为成人居民。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%
**定点药店待遇**：在定点零售药店发生的费用，支付 70%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.6043285874987798)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为学生儿童。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%
**定点药店待遇**：在定点零售药店发生的费用，支付 80%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.603461442187164)"
我二叔最近在二级的区中心医院住院，他想知道出院时那个 480 元的起付线是啥意思？,480 元是哈市二级定点医院的起付标准（门槛费），也就是医保报销前需要个人先承担的金额。," 
起付标准（即 480 元）是指参保人员在享受住院报销前，必须先自付的一笔费用。只有当您住院总花费超过 480 元后，超出部分才按比例进行报销。低于 480 元的部分全额自理。","哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6065978601004026)

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.5960956960859142)

哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.5957117359006576)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**尿毒症**。**统筹基金支付项目为**：血液透析组套。**费用标准**：二级及以下定点医院标准为 400元/次，统筹基金支付 390元/次（个人付10元）；三级定点医院标准为 440元/次，统筹基金支付 420元/次（个人付20元）。
(Score: 0.5955981752355606)"
我家楼下就有个一级的小医院，我平时感冒发烧住在那，这退休职工的一级医院门槛费是多少钱？,城镇职工在哈市一级定点医院住院，起付标准（门槛费）为 240 元。," 
回答: 一级定点医院退休人员起付标准（门槛费）为 400 元。如果您只是小病在门诊开药，可能还需要先经过这道门槛才能报销。如果是住院，则按此标准执行。","哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6483797834541851)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6458832219196814)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.63912324412462)

哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6378564933913562)"
我没去大医院，就在一个没等级的社区卫生中心住院了，这里的起付线是多少？,在哈市无等级医院住院，起付标准（门槛费）为 200 元。," 
回答: 起付标准为 100 元。这是无等级医院的标准。如果您是在哈市内的一级定点社区卫生服务中心，起付线也是 240 元。具体看您住的是哪一类医院。","哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.6595581459562394)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6539309615575892)

哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 0.6526795033501249)

哈尔滨城镇职工医保住院待遇，就医类型为哈市一级定点医院，起付标准 240元；无等级医院，起付标准 200元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6426868774998797)"
在职的小李在那种一级的定点小医院住院，他这种级别的报销比例是多少？,在职人员在哈市一级及无等级医院住院，报销比例均为 90%。,在职人员在哈尔滨一级定点医院住院，统筹基金和大额基金的支付比例均为 90%。,"哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.634875294651915)

哈尔滨城镇职工医保住院待遇，就医类型为哈市一级定点医院，起付标准 240元；无等级医院，起付标准 200元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6273247052965313)

哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6218333058833002)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6213717503132663)"
我妈退休了，她在一级定点医院调养住院，统筹金报销的时候能给报到 93% 吗？,是的，退休人员在哈市一级定点医院住院，统筹基金和大额基金的支付比例都是 93%。," 
回答: 不能。退休人员住院报销 93% 是针对‘住院’待遇。门诊特病（如糖尿病胰岛素）在哈市一级定点医院统筹基金支付比例为 90%。住院与门诊特病报销比例不同。","哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6076426491448967)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为成人居民。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：70%
**定点药店待遇**：在定点零售药店发生的费用，支付 70%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.6069463152405695)

哈尔滨城乡居民门诊特殊疾病待遇（糖尿病胰岛素治疗），适用人群为学生儿童。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%
- 二级医院：80%
- 三级医院：80%
**定点药店待遇**：在定点零售药店发生的费用，支付 80%。
**支付限额**：统筹金年度最多支付不超过 2400元。
(Score: 0.6020410336522876)

哈尔滨城乡居民门诊特殊疾病待遇（特殊药品/靶向用药），适用人群为成人居民。
**统筹基金支付比例**（按医院等级区分）：
- 无等级医院：90%
- 一级医院：90%（注：表格中无等级与一级合并，推测一致）
- 二级医院：80%
- 三级医院：70%
**定点药店待遇**：在定点零售药店发生的费用，支付 70%。
(Score: 0.5946780740979176)"
咱们哈尔滨的一级医院和无等级医院，在住院门槛费上有什么区别吗？,一级定点医院起付标准为 240 元，无等级医院起付标准为 200 元。," 
无等级医院的起付标准通常低于一级医院。具体如下：城乡居民医保中，无等级医院起付 100 元，一级医院起付 240 元；城镇职工医保中，无等级医院起付 200 元，一级医院起付 240 元。注意不同群体（如学生儿童 vs 成人居民）的具体比例可能有所不同。","哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.7265079639071212)

哈尔滨城镇职工医保住院待遇，就医类型为哈市一级定点医院，起付标准 240元；无等级医院，起付标准 200元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6971874067777214)

哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 0.694529816938134)

哈尔滨城镇职工医保住院待遇，就医类型为哈市二级定点医院。**起付标准（门槛费）**为 480元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6939464799425475)"
我家亲戚因为精神方面的问题，住进了精神病专科医院，听说这种病住院不用交门槛费？,精神病患者在精神病专科定点医院住院，起付标准（门槛费）为 0 元。," 
回答: 是的，精神病患者在哈尔滨精神病专科定点医院住院，起付标准（门槛费）为 0 元。在职和退休人员的报销比例均为 90%。","哈尔滨城镇职工医保住院待遇，精神病患者在精神病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，均为 90%（在职与退休人员待遇相同）。 (注：原图中精神病一栏的90%是跨列合并的，意味着不区分在职退休)
(Score: 0.6660905025755739)

哈尔滨城乡居民医保住院待遇（哈市专科定点医院）。
1. **精神疾病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
2. **肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
3. **耐多药肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 90%，成人居民 90%。
4. **其他传染病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 70%。
(Score: 0.5951618126070436)

哈尔滨城乡居民门诊特殊疾病待遇（肺结核、重性精神病药物维持治疗），适用人群为成人居民。
**统筹基金支付比例**：85%（不区分医院等级）。
(Score: 0.573938437035755)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.5734513913976014)"
