question,ground_truth,source_id,answer,contexts
在职职工看普通门诊，一年最多能报销多少钱啊？封顶线是多少？,3000元。,chunk_22,哈尔滨城镇职工普通门诊共济保障（适用于 9.5% 和 6.5% 缴费费率人员）年度最高支付限额均为 3000 元。,"哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6666950369256721, ChunkID: chunk_22)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.664232351023905, ChunkID: chunk_23)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6501899603756717, ChunkID: chunk_15)

哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6340791356565594, ChunkID: chunk_20)"
在职职工去门诊看病，得花多少钱以上医保才开始报销？门槛费是多少？,400元。,chunk_22,哈尔滨城镇职工医保普通门诊（门诊共济）起付标准（门槛费）为 400 元。超过 400 元的部分才能进入报销范围。,"哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.7012861028692454, ChunkID: chunk_22)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.698634289488627, ChunkID: chunk_23)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6750302788996495, ChunkID: chunk_5)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6748700711313538, ChunkID: chunk_7)"
我都退休好几年了，也是职工医保，去三级医院看个门诊，报销比例比在职的高吗？是多少？,55%（比在职高5个百分点）。,chunk_23," 
回答: 是的。退休人员门诊共济保障支付比例比在职人员高 5 个百分点。退休人员在哈市三级定点医院门诊统筹基金支付比例为 55%。","哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6542622202178233, ChunkID: chunk_23)

哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6520588631794684, ChunkID: chunk_6)

哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 0.6514266126330303, ChunkID: chunk_7)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6406031944111937, ChunkID: chunk_22)"
退休老人在一级医院看普通门诊，报销比例能达到多少？,75%。,chunk_23,退休人员在哈市一级定点医院普通门诊，统筹基金支付比例为 75%。,"哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6775441420186352, ChunkID: chunk_23)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6496790542091266, ChunkID: chunk_22)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.6439604955214129, ChunkID: chunk_15)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6337222050592315, ChunkID: chunk_5)"
退休人员的普通门诊，一年的最高支付限额和在职的一样吗？是多少？,一样，3000元。,chunk_23,退休人员普通门诊（门诊共济）年度最高支付限额为 3000 元，低于在职人员（通常为 4000-5000 元）。,"哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 0.664111963098234, ChunkID: chunk_15)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6397959627235958, ChunkID: chunk_23)

哈尔滨城镇职工门诊特殊疾病待遇，各病种对应的**统筹基金支付项目**及待遇如下：
1. **重性精神病药物维持治疗**：在职人员支付 90%，退休人员支付 90%（注意：退休不执行93%标准）。
2. **肺结核药物维持治疗**：在职人员支付 95%，退休人员支付 98%。
3. **特殊药品（靶向用药）**：在职人员支付 90%，退休人员支付 93%。
(Score: 0.6392244320881089, ChunkID: chunk_18)

哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 0.6328689756214041, ChunkID: chunk_17)"
我单位这几个月医保欠费了，我现在去门诊看病还能享受待遇吗？,不享受待遇（欠缴情况）。,chunk_24," 
回答: 您如果因为欠费导致医保账户状态异常（如冻结），可能无法直接享受普通门诊统筹待遇（如门诊共济）。建议先补缴欠费，并在就医时主动向医院说明情况，以便顺利完成结算。部分费用可能需您垫付后，待待遇恢复再进行二次结算。请尽快补缴，以免影响后续待遇享受。","哈尔滨城镇职工医保普通门诊待遇温馨提示（不享受待遇及欠费处理）：
1. **不享受待遇的情况**：非 9.5% 缴费的参保人员及 6.5% 缴费的退休人员；缴费未到账、未生成缴费计划或有欠缴情况；未达到起付标准 400元；超过门诊共济年度最高支付限额 3000元的部分。
2. **欠费处理**：如因参保缴费问题（未生成计划、未到账、欠缴）导致未及时享受待遇，须在就医时先行使用医保结算，待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。
(Score: 0.7239058379204515, ChunkID: chunk_24)

哈尔滨城乡居民“两病”门诊待遇（高血压、糖尿病专项保障）。
**适用对象**：未达到门诊慢性病鉴定标准的“两病”参保居民。
**待遇标准**：
1. **起付标准**：不设起付标准（0门槛费）。
2. **支付比例**：二级定点医疗机构 70%，二级以下定点基层医疗机构 80%。
3. **支付限额**：高血压患者降血压用药年度统筹基金最高支付限额 400元；糖尿病患者降血糖用药年度统筹基金最高支付限额 600元。
(Score: 0.6639950983163243, ChunkID: chunk_50)

哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 0.6444696459833976, ChunkID: chunk_20)

哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 0.6388703441060166, ChunkID: chunk_23)"
之前医保欠费没报销成，现在补上了，我之前看病的钱还能回来重新结算吗？,待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。,chunk_24," 
如果是在哈尔滨本地发生的医疗费用且当时因欠费未能即时结算，现在补缴了欠款，可以携带发票、处方等相关材料到原就诊医院进行‘补结算’。如果该医院支持此操作，可以将原自费部分重新走医保结算。若医院不支持或已过窗口期，通常需通过医保经办机构办理手工报销（零星报销）。","哈尔滨医保异地就医结算便利与“双向享受”政策。
1. **直接结算**：已成功办理异地备案的参保人，可持社会保障卡、身份证或医保电子凭证在备案地开通的所有异地联网定点医药机构享受住院和门诊费用直接结算服务。
2. **双向享受**：已办理**长期异地备案**的参保人员，可以在备案地和参保地（哈尔滨）双向享受医保待遇（即备案后回哈尔滨看病也能正常报销，不降低比例）。
(Score: 0.6177742199891276, ChunkID: chunk_53)

哈尔滨城镇职工医保普通门诊待遇温馨提示（不享受待遇及欠费处理）：
1. **不享受待遇的情况**：非 9.5% 缴费的参保人员及 6.5% 缴费的退休人员；缴费未到账、未生成缴费计划或有欠缴情况；未达到起付标准 400元；超过门诊共济年度最高支付限额 3000元的部分。
2. **欠费处理**：如因参保缴费问题（未生成计划、未到账、欠缴）导致未及时享受待遇，须在就医时先行使用医保结算，待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。
(Score: 0.6103028855875134, ChunkID: chunk_24)

哈尔滨医保零星报销（手工报销）适用范围与限制条件。
1. **适用情况**：在异地定点医药机构未能直接结算的门诊特殊疾病、门诊慢性病、门诊特殊药品、急诊转住院、异地安置住院、临时外出就医住院、转诊转院住院等。
2. **本地限制（重要）**：哈尔滨市统筹区域范围内定点医药机构就医需持卡直接结算。未在定点医药机构就诊的医疗费用，医保基金不予支付（急诊抢救除外）。
(Score: 0.6066536199762957, ChunkID: chunk_73)

哈尔滨城乡居民“两病”门诊管理规则（高血压、糖尿病）。
1. **待遇互斥**：已经享受统筹地区门诊慢性病待遇的参保人员，继续执行现有的门诊慢性病保障政策，不再重复享受“两病”待遇。
2. **住院冲突**：住院期间医疗费用按住院报销政策执行，住院期间不能同时发生“两病”门诊医疗费用。
3. **购药渠道**：可在本统筹区内任意二级及以下定点医疗机构购买“两病”药品，实行医保直接结算。
4. **异地报销**：长期异地居住的，在“两病”未实行异地门诊直接结算前，由参保人先行垫付，再到参保地经办机构申请报销。
(Score: 0.6039479311157419, ChunkID: chunk_51)"
我是交城乡居民医保的，这一年下来，医保统筹最多能帮我掏多少钱？封顶线是多少？,18万元。,chunk_25," 
回答: 哈尔滨城乡居民医保统筹基金年度最高支付限额为 18万元。这个限额涵盖了住院及门诊特殊疾病（如器官移植抗排异）的合规费用。","一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 0.7221463057109977, ChunkID: chunk_one)

哈尔滨城乡居民医保待遇基础规则。
**最高支付限额**：参保居民一个年度内发生符合统筹基金支付范围的医疗费用，统筹基金最高支付限额为 18万元。
**支付范围**：包括药品目录、诊疗项目和医疗服务设施项目目录等符合社会保险法律法规规定的项目。
(Score: 0.7018703456755356, ChunkID: chunk_25)

哈尔滨城乡居民门诊慢性病待遇（病种与基础标准）。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**统筹基金支付比例**：70%。
**支付限额**：每人每季度统筹基金最高支付限额 400元，一个年度内统筹基金最高支付限额 1600元。
(Score: 0.6596745843932488, ChunkID: chunk_45)

哈尔滨城乡居民门诊特殊疾病待遇（器官移植术后抗排异治疗），适用人群为成人居民。
**覆盖范围**：肝、肾、肺、心脏移植术后抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**统筹基金支付比例**：80%。
**支付限额**：
1. **术后2年以内（含2年）**：年度最高支付限额 6.3万元，统筹金每人每季度最多支付不超过 15750元。
2. **术后2年以上**：年度最高支付限额 4.9万元，统筹金每人每季度最多支付不超过 12250元。
(Score: 0.6586235485023924, ChunkID: chunk_32)"
家里小孩是学生，交的居民医保，在三级医院住院，起付线是多少钱？,720元。,chunk_26," 
哈尔滨城乡居民医保（学生儿童）在三级定点医院住院，起付标准为 720 元。","哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 0.6999148656053045, ChunkID: chunk_26)

哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.6852180405074703, ChunkID: chunk_28)

哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 0.6717577833774871, ChunkID: chunk_1)

哈尔滨城乡居民医保住院待遇（哈市专科定点医院）。
1. **精神疾病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
2. **肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
3. **耐多药肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 90%，成人居民 90%。
4. **其他传染病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 70%。
(Score: 0.6667370751552526, ChunkID: chunk_27)"
我是成年居民，在二级医院住院，报销比例跟学生一样吗？是多少？,80%（学生也是80%）。,chunk_26," 
回答: 是的。哈尔滨成年居民在二级定点医院住院，报销比例均为 80%。与学生儿童一致。","哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 0.6864588354666876, ChunkID: chunk_26)

哈尔滨城乡居民医保住院待遇（哈市专科定点医院）。
1. **精神疾病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
2. **肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
3. **耐多药肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 90%，成人居民 90%。
4. **其他传染病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 70%。
(Score: 0.6700989024164571, ChunkID: chunk_27)

哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 0.665174262396923, ChunkID: chunk_28)

哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 0.6641477520006056, ChunkID: chunk_5)"
